web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe
"1669622809-732","https://www.autolina.ch/elektro-auto","46'800","9642","null","229","grau"
"1669622809-733","https://www.autolina.ch/elektro-auto","46'800","9642","null","229","grau"
"1669622809-734","https://www.autolina.ch/elektro-auto","101'800","7304","null","408","schwarz"
"1669622809-735","https://www.autolina.ch/elektro-auto","53'690","8803","null","170","grau"
"1669622809-736","https://www.autolina.ch/elektro-auto","58'490","8803","null","170","schwarz"
"1669622809-737","https://www.autolina.ch/elektro-auto","53'490","8803","null","170","schwarz"
"1669622809-738","https://www.autolina.ch/elektro-auto","55'990","8803","null","170","grau"
"1669622809-739","https://www.autolina.ch/elektro-auto","56'300","8803","null","170","schwarz"
"1669622809-740","https://www.autolina.ch/elektro-auto","67'900","3225","2022","184","weiss"
"1669622809-741","https://www.autolina.ch/elektro-auto","41'990","8274","null","136","weiss"
"1669622809-742","https://www.autolina.ch/elektro-auto","38'645","3073","null","136","weiss"
"1669622809-743","https://www.autolina.ch/elektro-auto","35'480","6055","null","119","grau"
"1669622809-744","https://www.autolina.ch/elektro-auto","32'935","6055","2022","119","grau"
"1669622809-745","https://www.autolina.ch/elektro-auto","49'950","6340","2022","218","weiss"
"1669622809-746","https://www.autolina.ch/elektro-auto","50'900","6340","2022","306","weiss"
"1669622809-747","https://www.autolina.ch/elektro-auto","61'900","4147","null","204","sonstiges"
"1669622809-748","https://www.autolina.ch/elektro-auto","63'900","4147","null","204","sonstiges"
"1669622809-749","https://www.autolina.ch/elektro-auto","43'200","7320","2021","136","grün"
"1669622809-750","https://www.autolina.ch/elektro-auto","37'900","7320","2022","136","orange"
"1669622809-751","https://www.autolina.ch/elektro-auto","45'070","7320","null","136","weiss"
"1669622809-752","https://www.autolina.ch/elektro-auto","39'784","7320","null","136","grau"
"1669622809-753","https://www.autolina.ch/elektro-auto","37'900","7320","2022","136","schwarz"
"1669622809-754","https://www.autolina.ch/elektro-auto","39'100","7320","null","136","weiss"
"1669622809-755","https://www.autolina.ch/elektro-auto","65'980","8048","null","204","sonstiges"
"1669622809-756","https://www.autolina.ch/elektro-auto","49'990","8048","2021","180","sonstiges"
"1669622809-757","https://www.autolina.ch/elektro-auto","48'990","8048","2021","180","sonstiges"
"1669622809-758","https://www.autolina.ch/elektro-auto","44'900","6010","null","204","grau"
"1669622809-759","https://www.autolina.ch/elektro-auto","89'900","9050","2022","408","blau"
"1669622809-760","https://www.autolina.ch/elektro-auto","40'980","5033","null","136","weiss"
"1669622809-761","https://www.autolina.ch/elektro-auto","31'890","8274","null","118","schwarz"
"1669622809-762","https://www.autolina.ch/elektro-auto","32'890","8274","null","118","schwarz"
"1669622809-763","https://www.autolina.ch/elektro-auto","31'890","8274","null","118","schwarz"
"1669622809-764","https://www.autolina.ch/elektro-auto","63'990","8274","null","325","schwarz"
"1669622809-765","https://www.autolina.ch/elektro-auto","75'895","9300","null","266","sonstiges"
"1669622809-766","https://www.autolina.ch/elektro-auto","37'900","3000","null","136","blau"
"1669622809-767","https://www.autolina.ch/elektro-auto","63'900","6330","null","204","sonstiges"
"1669622809-768","https://www.autolina.ch/elektro-auto","63'900","4922","null","408","schwarz"
"1669622809-769","https://www.autolina.ch/elektro-auto","79'900","7323","2022","286","grau"
"1669622809-770","https://www.autolina.ch/elektro-auto","28'700","3018","null","82","weiss"
"1669622809-771","https://www.autolina.ch/elektro-auto","28'700","3018","null","82","silber"
"1669622809-772","https://www.autolina.ch/elektro-auto","44'350","1121","2022","136","weiss"
"1669622809-773","https://www.autolina.ch/elektro-auto","39'800","8730","2021","325","weiss"
"1669622809-774","https://www.autolina.ch/elektro-auto","19'890","9535","2021","82","weiss"
"1669622809-775","https://www.autolina.ch/elektro-auto","19'890","9535","2021","82","weiss"
"1669622809-776","https://www.autolina.ch/elektro-auto","27'600","8854","2018","184","blau"
"1669622809-777","https://www.autolina.ch/elektro-auto","60'900","5630","null","204","schwarz"
"1669622809-778","https://www.autolina.ch/elektro-auto","81'500","9050","2020","204","grau"
"1669622809-779","https://www.autolina.ch/elektro-auto","24'900","9050","null","82","schwarz"
"1669622809-780","https://www.autolina.ch/elektro-auto","69'910","9050","2020","408","silber"
"1669622809-781","https://www.autolina.ch/elektro-auto","153'000","9050","null","333","weiss"
"1669622809-782","https://www.autolina.ch/elektro-auto","74'900","9050","2020","408","schwarz"
"1669622809-783","https://www.autolina.ch/elektro-auto","103'200","9050","null","408","grau"
"1669622809-784","https://www.autolina.ch/elektro-auto","63'900","9050","2020","408","blau"
"1669622809-785","https://www.autolina.ch/elektro-auto","139'900","9050","null","333","schwarz"
"1669622809-786","https://www.autolina.ch/elektro-auto","122'900","9050","2022","476","grau"
"1669622809-787","https://www.autolina.ch/elektro-auto","137'500","9050","2022","476","silber"
"1669622809-788","https://www.autolina.ch/elektro-auto","177'900","9050","null","524","grau"
"1669622809-789","https://www.autolina.ch/elektro-auto","57'500","9050","2021","190","schwarz"
"1669622809-790","https://www.autolina.ch/elektro-auto","53'800","4538","2021","498","weiss"
"1669622809-791","https://www.autolina.ch/elektro-auto","27'850","8404","null","81","schwarz"
"1669622809-792","https://www.autolina.ch/elektro-auto","132'500","3930","2022","523","schwarz"
"1669622809-793","https://www.autolina.ch/elektro-auto","76'500","1870","2022","299","schwarz"
"1669622809-794","https://www.autolina.ch/elektro-auto","84'801","7500","2022","204","sonstiges"
"1669622809-795","https://www.autolina.ch/elektro-auto","62'679","7500","2022","204","weiss"
"1669622809-796","https://www.autolina.ch/elektro-auto","69'980","5442","2019","408","schwarz"
"1669622809-797","https://www.autolina.ch/elektro-auto","17'800","3510","2014","109","weiss"
"1669622809-798","https://www.autolina.ch/elektro-auto","30'100","5430","null","82","grau"
"1669622809-799","https://www.autolina.ch/elektro-auto","26'500","5430","null","82","silber"
"1669622809-800","https://www.autolina.ch/elektro-auto","49'500","6060","null","218","schwarz"
"1669622809-801","https://www.autolina.ch/elektro-auto","55'540","5442","null","170","sonstiges"
"1669622809-802","https://www.autolina.ch/elektro-auto","65'900","3800","2022","184","weiss"
"1669622809-803","https://www.autolina.ch/elektro-auto","56'500","8610","2022","204","sonstiges"
"1669622809-804","https://www.autolina.ch/elektro-auto","44'500","9200","2022","204","grau"
"1669622809-805","https://www.autolina.ch/elektro-auto","35'500","5312","2021","136","grau"
"1669622809-806","https://www.autolina.ch/elektro-auto","41'255","9300","null","204","weiss"
"1669622809-807","https://www.autolina.ch/elektro-auto","66'140","4852","null","265","weiss"
"1669622809-808","https://www.autolina.ch/elektro-auto","31'900","8604","2021","136","weiss"
"1669622809-809","https://www.autolina.ch/elektro-auto","59'020","6900","null","204","blau"
"1669622809-810","https://www.autolina.ch/elektro-auto","65'990","7000","2019","361","sonstiges"
"1669622809-811","https://www.autolina.ch/elektro-auto","39'000","9444","2021","204","grau"
"1669622809-812","https://www.autolina.ch/elektro-auto","69'990","3018","2022","371","orange"
"1669622809-813","https://www.autolina.ch/elektro-auto","69'990","3018","null","371","orange"
"1669622809-814","https://www.autolina.ch/elektro-auto","55'720","2555","2022","204","sonstiges"
"1669622809-815","https://www.autolina.ch/elektro-auto","71'890","4053","2021","299","schwarz"
"1669622809-816","https://www.autolina.ch/elektro-auto","57'100","6596","2020","313","weiss"
"1669622809-817","https://www.autolina.ch/elektro-auto","68'200","6423","null","325","weiss"
"1669622809-818","https://www.autolina.ch/elektro-auto","59'300","6055","2022","231","weiss"
"1669622809-819","https://www.autolina.ch/elektro-auto","49'564","6055","2020","476","silber"
"1669622809-820","https://www.autolina.ch/elektro-auto","63'878","6055","2022","408","schwarz"
"1669622809-821","https://www.autolina.ch/elektro-auto","65'170","6055","null","null","null"
"1669622809-822","https://www.autolina.ch/elektro-auto","36'234","6055","2021","136","blau"
"1669622809-823","https://www.autolina.ch/elektro-auto","41'900","6048","2022","204","weiss"
"1669622809-824","https://www.autolina.ch/elektro-auto","67'190","5610","null","408","weiss"
"1669622809-825","https://www.autolina.ch/elektro-auto","18'900","8305","2017","170","schwarz"
"1669622809-826","https://www.autolina.ch/elektro-auto","21'900","8305","2017","170","grau"
"1669622809-827","https://www.autolina.ch/elektro-auto","35'900","8932","2020","204","weiss"
"1669622809-828","https://www.autolina.ch/elektro-auto","68'500","6020","2022","325","schwarz"
"1669622809-829","https://www.autolina.ch/elektro-auto","115'500","8004","null","327","schwarz"
"1669622809-830","https://www.autolina.ch/elektro-auto","49'780","9015","null","136","weiss"
"1669622809-831","https://www.autolina.ch/elektro-auto","34'150","6852","null","136","gelb"
"1669622809-832","https://www.autolina.ch/elektro-auto","93'900","8953","2021","327","schwarz"
"1669622809-833","https://www.autolina.ch/elektro-auto","76'895","8408","2019","562","weiss"
"1669622809-834","https://www.autolina.ch/elektro-auto","65'580","5634","null","204","schwarz"
"1669622809-835","https://www.autolina.ch/elektro-auto","43'900","6403","null","180","grau"
"1669622809-836","https://www.autolina.ch/elektro-auto","67'200","6403","null","299","schwarz"
"1669622809-837","https://www.autolina.ch/elektro-auto","48'650","5417","null","232","weiss"
"1669622809-838","https://www.autolina.ch/elektro-auto","49'850","5417","null","232","blau"
"1669622809-839","https://www.autolina.ch/elektro-auto","38'900","9220","2019","476","grau"
"1669622809-840","https://www.autolina.ch/elektro-auto","78'900","9220","null","292","schwarz"
"1669622809-841","https://www.autolina.ch/elektro-auto","39'390","6331","null","136","weiss"
"1669622809-842","https://www.autolina.ch/elektro-auto","21'989","5610","2021","116","weiss"
"1669622809-843","https://www.autolina.ch/elektro-auto","24'800","6023","2018","170","blau"
"1669622809-844","https://www.autolina.ch/elektro-auto","66'900","8302","null","160","weiss"
"1669622809-845","https://www.autolina.ch/elektro-auto","23'900","1024","2022","82","weiss"
"1669622809-846","https://www.autolina.ch/elektro-auto","5'500","8413","2011","67","weiss"
"1669622809-847","https://www.autolina.ch/elektro-auto","69'690","8804","2022","299","sonstiges"
"1669622809-848","https://www.autolina.ch/elektro-auto","156'500","8706","null","598","grau"
"1669622809-849","https://www.autolina.ch/elektro-auto","114'000","8600","null","408","grau"
"1669622809-850","https://www.autolina.ch/elektro-auto","68'900","6423","null","265","schwarz"
"1669622809-851","https://www.autolina.ch/elektro-auto","66'810","4852","null","204","weiss"
"1669622809-852","https://www.autolina.ch/elektro-auto","38'990","4663","null","136","weiss"
"1669622809-853","https://www.autolina.ch/elektro-auto","46'900","8854","2019","513","weiss"
"1669622809-854","https://www.autolina.ch/elektro-auto","20'900","8305","2017","170","weiss"
"1669622809-855","https://www.autolina.ch/elektro-auto","21'900","8305","2018","170","silber"
"1669622809-856","https://www.autolina.ch/elektro-auto","55'990","8280","null","204","weiss"
"1669622809-857","https://www.autolina.ch/elektro-auto","30'400","9443","2021","184","schwarz"
"1669622809-858","https://www.autolina.ch/elektro-auto","64'750","4322","null","325","schwarz"
"1669622809-859","https://www.autolina.ch/elektro-auto","32'900","8406","2022","136","rot"
"1669622809-860","https://www.autolina.ch/elektro-auto","89'900","8280","2021","408","schwarz"
"1669622809-861","https://www.autolina.ch/elektro-auto","64'900","5430","null","204","silber"
"1669622809-862","https://www.autolina.ch/elektro-auto","66'900","5430","null","204","grau"
"1669622809-863","https://www.autolina.ch/elektro-auto","41'300","9016","null","184","rot"
"1669622809-864","https://www.autolina.ch/elektro-auto","44'500","9016","null","184","schwarz"
"1669622809-865","https://www.autolina.ch/elektro-auto","59'900","5430","null","204","schwarz"
"1669622809-866","https://www.autolina.ch/elektro-auto","70'900","5430","null","299","weiss"
"1669622809-867","https://www.autolina.ch/elektro-auto","19'900","5001","2017","170","schwarz"
"1669622809-868","https://www.autolina.ch/elektro-auto","45'800","8645","2021","184","schwarz"
"1669622809-869","https://www.autolina.ch/elektro-auto","57'900","1844","2022","204","silber"
"1669622809-870","https://www.autolina.ch/elektro-auto","61'900","1844","2022","204","schwarz"
"1669622809-871","https://www.autolina.ch/elektro-auto","77'700","4528","2021","299","schwarz"
"1669622809-872","https://www.autolina.ch/elektro-auto","35'013","1700","null","136","weiss"
"1669622809-873","https://www.autolina.ch/elektro-auto","59'700","4528","2019","313","schwarz"
"1669622809-874","https://www.autolina.ch/elektro-auto","74'270","6330","null","204","schwarz"
"1669622809-875","https://www.autolina.ch/elektro-auto","45'100","3960","null","218","blau"
"1669622809-876","https://www.autolina.ch/elektro-auto","99'200","8280","null","408","weiss"
"1669622809-877","https://www.autolina.ch/elektro-auto","64'900","9200","2022","204","weiss"
"1669622809-878","https://www.autolina.ch/elektro-auto","84'900","9200","2022","204","schwarz"
"1669622809-879","https://www.autolina.ch/elektro-auto","84'900","9200","2022","204","schwarz"
"1669622809-880","https://www.autolina.ch/elektro-auto","62'500","6004","2019","408","silber"
"1669622809-881","https://www.autolina.ch/elektro-auto","26'200","3297","2020","136","rot"
"1669622809-882","https://www.autolina.ch/elektro-auto","92'800","8730","2021","327","bordeaux"
"1669622809-883","https://www.autolina.ch/elektro-auto","69'800","8730","2021","204","weiss"
"1669622809-884","https://www.autolina.ch/elektro-auto","69'800","8730","2021","408","grau"
"1669622809-885","https://www.autolina.ch/elektro-auto","34'900","5604","null","136","schwarz"
"1669622809-886","https://www.autolina.ch/elektro-auto","61'290","9015","2022","204","sonstiges"
"1669622809-887","https://www.autolina.ch/elektro-auto","107'700","5070","null","408","blau"
"1669622809-888","https://www.autolina.ch/elektro-auto","68'900","4923","null","514","weiss"
"1669622809-889","https://www.autolina.ch/elektro-auto","70'790","4923","null","514","blau"
"1669622809-890","https://www.autolina.ch/elektro-auto","70'790","4923","null","514","rot"
"1669622809-891","https://www.autolina.ch/elektro-auto","70'790","4923","null","514","rot"
"1669622809-892","https://www.autolina.ch/elektro-auto","68'900","4923","null","514","weiss"
"1669622809-893","https://www.autolina.ch/elektro-auto","41'900","7156","null","204","weiss"
"1669622809-894","https://www.autolina.ch/elektro-auto","69'220","3073","null","408","silber"
"1669622809-895","https://www.autolina.ch/elektro-auto","69'360","3073","null","408","grün"
"1669622809-896","https://www.autolina.ch/elektro-auto","63'270","3073","null","231","schwarz"
"1669622809-897","https://www.autolina.ch/elektro-auto","33'900","4663","null","136","rot"
"1669622809-898","https://www.autolina.ch/elektro-auto","32'900","4663","null","136","weiss"
"1669622809-899","https://www.autolina.ch/elektro-auto","85'950","9500","2022","204","gelb"
"1669622809-900","https://www.autolina.ch/elektro-auto","69'950","9500","null","299","grau"
"1669622809-901","https://www.autolina.ch/elektro-auto","66'020","3110","null","408","schwarz"
"1669622809-902","https://www.autolina.ch/elektro-auto","61'890","5116","2021","265","sonstiges"
"1669622809-903","https://www.autolina.ch/elektro-auto","30'990","8274","null","118","weiss"
"1669622809-904","https://www.autolina.ch/elektro-auto","31'900","6021","2022","118","rot"
"1669622809-905","https://www.autolina.ch/elektro-auto","41'600","9001","null","218","weiss"
"1669622809-906","https://www.autolina.ch/elektro-auto","84'990","3053","2021","408","schwarz"
"1669622809-907","https://www.autolina.ch/elektro-auto","33'000","9100","null","150","weiss"
"1669622809-908","https://www.autolina.ch/elektro-auto","75'555","6340","2020","408","schwarz"
"1669622809-909","https://www.autolina.ch/elektro-auto","34'500","8620","2022","136","weiss"
"1669622809-910","https://www.autolina.ch/elektro-auto","68'900","5035","2022","534","weiss"
"1669622809-911","https://www.autolina.ch/elektro-auto","56'900","5035","2019","408","schwarz"
"1669622809-912","https://www.autolina.ch/elektro-auto","65'600","8620","2022","242","grau"
"1669622809-913","https://www.autolina.ch/elektro-auto","70'700","4563","null","325","gold"
"1669622809-914","https://www.autolina.ch/elektro-auto","70'150","4563","null","325","schwarz"
"1669622809-915","https://www.autolina.ch/elektro-auto","70'150","4563","2022","325","blau"
"1669622809-916","https://www.autolina.ch/elektro-auto","69'600","4563","null","325","weiss"
"1669622809-917","https://www.autolina.ch/elektro-auto","70'700","4563","null","325","gold"
"1669622809-918","https://www.autolina.ch/elektro-auto","32'600","5032","null","136","gelb"
"1669622809-919","https://www.autolina.ch/elektro-auto","64'750","8932","null","325","schwarz"
"1669622809-920","https://www.autolina.ch/elektro-auto","57'000","8413","2022","204","grau"
"1669622809-921","https://www.autolina.ch/elektro-auto","29'900","1217","2021","184","schwarz"
"1669622809-922","https://www.autolina.ch/elektro-auto","44'660","9542","null","204","weiss"
"1669622809-923","https://www.autolina.ch/elektro-auto","33'890","9542","null","136","weiss"
"1669622809-924","https://www.autolina.ch/elektro-auto","55'880","9542","2022","408","weiss"
"1669622809-925","https://www.autolina.ch/elektro-auto","64'980","9542","null","265","grau"
"1669622809-926","https://www.autolina.ch/elektro-auto","58'800","9542","2022","204","weiss"
"1669622809-927","https://www.autolina.ch/elektro-auto","59'990","9542","null","300","grau"
"1669622809-928","https://www.autolina.ch/elektro-auto","39'880","9542","2021","204","türkis"
"1669622809-929","https://www.autolina.ch/elektro-auto","63'850","9542","null","265","silber"
"1669622809-930","https://www.autolina.ch/elektro-auto","91'800","9542","2021","503","weiss"
"1669622809-931","https://www.autolina.ch/elektro-auto","124'900","9542","2021","646","rot"
"1669622809-932","https://www.autolina.ch/elektro-auto","79'900","9542","2021","408","schwarz"
"1669622809-933","https://www.autolina.ch/elektro-auto","35'860","9542","null","136","schwarz"
"1669622809-934","https://www.autolina.ch/elektro-auto","66'550","9542","2022","300","weiss"
"1669622809-935","https://www.autolina.ch/elektro-auto","22'900","8305","2017","170","schwarz"
"1669622809-936","https://www.autolina.ch/elektro-auto","63'500","8623","null","204","weiss"
"1669622809-937","https://www.autolina.ch/elektro-auto","46'160","5417","2022","184","schwarz"
"1669622809-938","https://www.autolina.ch/elektro-auto","46'160","5417","2022","184","schwarz"
"1669622809-939","https://www.autolina.ch/elektro-auto","38'800","5417","2022","184","schwarz"
"1669622809-940","https://www.autolina.ch/elektro-auto","93'900","8404","2022","327","grau"
"1669622809-941","https://www.autolina.ch/elektro-auto","33'900","8488","2021","136","blau"
"1669622809-942","https://www.autolina.ch/elektro-auto","69'990","8810","null","371","blau"
"1669622809-943","https://www.autolina.ch/elektro-auto","59'068","8810","null","136","weiss"
"1669622809-944","https://www.autolina.ch/elektro-auto","66'810","1716","null","204","sonstiges"
"1669622809-945","https://www.autolina.ch/elektro-auto","71'560","1716","null","299","schwarz"
"1669622809-946","https://www.autolina.ch/elektro-auto","36'600","8038","2021","119","grau"
"1669622809-947","https://www.autolina.ch/elektro-auto","57'500","8280","null","170","blau"
"1669622809-948","https://www.autolina.ch/elektro-auto","29'900","2544","2020","118","schwarz"
"1669622809-949","https://www.autolina.ch/elektro-auto","30'800","6982","2021","119","weiss"
"1669622809-950","https://www.autolina.ch/elektro-auto","35'100","6512","null","82","weiss"
"1669622809-951","https://www.autolina.ch/elektro-auto","31'400","6512","null","82","grau"
"1669622809-952","https://www.autolina.ch/elektro-auto","49'890","1212","2015","738","blau"
"1669622809-953","https://www.autolina.ch/elektro-auto","81'900","1122","null","204","grau"
"1669622809-954","https://www.autolina.ch/elektro-auto","84'800","1122","null","204","gelb"
"1669622809-955","https://www.autolina.ch/elektro-auto","43'800","3852","2019","476","schwarz"
"1669622809-956","https://www.autolina.ch/elektro-auto","31'900","3966","2022","119","rot"
"1669622809-957","https://www.autolina.ch/elektro-auto","40'747","4912","null","136","weiss"
"1669622809-958","https://www.autolina.ch/elektro-auto","44'700","6850","null","136","weiss"
"1669622809-959","https://www.autolina.ch/elektro-auto","41'400","3952","2022","136","blau"
"1669622809-960","https://www.autolina.ch/elektro-auto","178'500","9015","2022","524","grau"
"1669622809-961","https://www.autolina.ch/elektro-auto","59'900","9200","2021","204","schwarz"
"1669622809-962","https://www.autolina.ch/elektro-auto","64'700","5642","null","184","weiss"
"1669622809-963","https://www.autolina.ch/elektro-auto","36'600","1018","null","136","sonstiges"
"1669622809-964","https://www.autolina.ch/elektro-auto","41'900","2802","2022","204","weiss"
"1669622809-965","https://www.autolina.ch/elektro-auto","38'700","3315","2020","306","grau"
"1669622809-966","https://www.autolina.ch/elektro-auto","65'814","3930","null","300","blau"
"1669622809-967","https://www.autolina.ch/elektro-auto","52'490","1196","2022","136","weiss"
"1669622809-968","https://www.autolina.ch/elektro-auto","75'250","1196","null","371","orange"
"1669622809-969","https://www.autolina.ch/elektro-auto","36'220","6595","null","136","weiss"
"1669622809-970","https://www.autolina.ch/elektro-auto","35'990","4923","2022","154","gelb"
"1669622809-971","https://www.autolina.ch/elektro-auto","79'900","3172","null","340","schwarz"
"1669622809-972","https://www.autolina.ch/elektro-auto","67'900","3172","null","340","weiss"
"1669622809-973","https://www.autolina.ch/elektro-auto","41'900","1868","2021","325","sonstiges"
"1669622809-974","https://www.autolina.ch/elektro-auto","67'640","1030","2022","371","schwarz"
"1669622809-975","https://www.autolina.ch/elektro-auto","36'900","1030","2022","136","weiss"
"1669622809-976","https://www.autolina.ch/elektro-auto","44'700","1950","null","136","sonstiges"
"1669622809-977","https://www.autolina.ch/elektro-auto","62'750","3604","null","325","schwarz"
"1669622809-978","https://www.autolina.ch/elektro-auto","87'500","1032","2017","772","rot"
"1669622809-979","https://www.autolina.ch/elektro-auto","48'500","1032","2017","525","schwarz"
"1669622809-980","https://www.autolina.ch/elektro-auto","52'900","1032","2017","525","rot"
"1669622809-981","https://www.autolina.ch/elektro-auto","61'500","1032","2017","525","blau"
"1669622809-982","https://www.autolina.ch/elektro-auto","70'900","3550","2022","371","schwarz"
"1669622809-983","https://www.autolina.ch/elektro-auto","63'900","8500","2020","312","grau"
"1669622809-984","https://www.autolina.ch/elektro-auto","60'666","2855","null","228","sonstiges"
"1669622809-985","https://www.autolina.ch/elektro-auto","34'680","4104","null","119","weiss"
"1669622809-986","https://www.autolina.ch/elektro-auto","57'900","4414","2022","408","weiss"
"1669622809-987","https://www.autolina.ch/elektro-auto","81'900","5702","null","292","grau"
"1669622809-988","https://www.autolina.ch/elektro-auto","99'900","5702","null","408","silber"
"1669622809-989","https://www.autolina.ch/elektro-auto","42'760","6852","null","136","schwarz"
"1669622809-990","https://www.autolina.ch/elektro-auto","56'500","3000","null","204","weiss"
"1669622809-991","https://www.autolina.ch/elektro-auto","27'800","6012","2022","60","weiss"
"1669622809-992","https://www.autolina.ch/elektro-auto","58'800","6012","2022","191","weiss"
"1669622809-993","https://www.autolina.ch/elektro-auto","59'900","6926","2019","408","schwarz"
"1669622809-994","https://www.autolina.ch/elektro-auto","11'900","8152","2016","88","weiss"
"1669622809-995","https://www.autolina.ch/elektro-auto","23'900","8152","2022","82","weiss"
"1669622809-996","https://www.autolina.ch/elektro-auto","85'900","8500","2021","503","anthrazit"
"1669622809-997","https://www.autolina.ch/elektro-auto","35'900","6500","2022","145","grau"
"1669622809-998","https://www.autolina.ch/elektro-auto","35'000","8185","null","136","weiss"
"1669622809-999","https://www.autolina.ch/elektro-auto","35'900","4663","null","136","grau"
"1669622809-1000","https://www.autolina.ch/elektro-auto","69'950","4665","null","265","grau"
"1669622809-1001","https://www.autolina.ch/elektro-auto","98'200","8280","null","408","silber"
"1669622809-1002","https://www.autolina.ch/elektro-auto","38'700","8280","null","136","weiss"
"1669622809-1003","https://www.autolina.ch/elektro-auto","23'900","1217","2022","82","weiss"
"1669622809-1004","https://www.autolina.ch/elektro-auto","59'528","4702","null","204","weiss"
"1669622809-1005","https://www.autolina.ch/elektro-auto","79'900","4702","2022","204","gelb"
"1669622809-1006","https://www.autolina.ch/elektro-auto","31'900","4147","2019","184","weiss"
"1669622809-1007","https://www.autolina.ch/elektro-auto","35'626","8965","null","136","weiss"
"1669622809-1008","https://www.autolina.ch/elektro-auto","44'937","8965","null","136","weiss"
"1669622809-1009","https://www.autolina.ch/elektro-auto","26'900","9001","2019","136","violett"
"1669622809-1010","https://www.autolina.ch/elektro-auto","65'000","9001","null","325","schwarz"
"1669622809-1011","https://www.autolina.ch/elektro-auto","43'727","3613","null","122","weiss"
"1669622809-1012","https://www.autolina.ch/elektro-auto","38'041","6010","null","122","weiss"
"1669622809-1013","https://www.autolina.ch/elektro-auto","68'140","8806","2022","242","blau"
"1669622809-1014","https://www.autolina.ch/elektro-auto","45'830","8806","null","217","silber"
"1669622809-1015","https://www.autolina.ch/elektro-auto","43'000","8806","2022","217","schwarz"
"1669622809-1016","https://www.autolina.ch/elektro-auto","37'900","8806","2021","217","weiss"
"1669622809-1017","https://www.autolina.ch/elektro-auto","36'900","8806","2021","217","schwarz"
"1669622809-1018","https://www.autolina.ch/elektro-auto","58'900","9463","null","229","schwarz"
"1669622809-1019","https://www.autolina.ch/elektro-auto","68'900","9463","null","325","grau"
"1669622809-1020","https://www.autolina.ch/elektro-auto","63'970","8406","null","204","blau"
"1669622809-1021","https://www.autolina.ch/elektro-auto","64'490","8406","2022","204","sonstiges"
"1669622809-1022","https://www.autolina.ch/elektro-auto","34'900","6030","2020","136","blau"
"1669622809-1023","https://www.autolina.ch/elektro-auto","66'970","3110","null","408","rot"
"1669622809-1024","https://www.autolina.ch/elektro-auto","68'900","8048","2021","286","silber"
"1669622809-1025","https://www.autolina.ch/elektro-auto","28'800","8645","2019","170","rot"
"1669622809-1026","https://www.autolina.ch/elektro-auto","84'801","8280","2022","204","sonstiges"
"1669622809-1027","https://www.autolina.ch/elektro-auto","51'099","5033","null","136","weiss"
"1669622809-1028","https://www.autolina.ch/elektro-auto","49'500","6403","2021","204","weiss"
"1669622809-1029","https://www.autolina.ch/elektro-auto","76'760","6010","2020","408","sonstiges"
"1669622809-1030","https://www.autolina.ch/elektro-auto","39'800","8820","2022","122","weiss"
"1669622809-1031","https://www.autolina.ch/elektro-auto","36'450","4800","null","136","rot"
"1669622809-1032","https://www.autolina.ch/elektro-auto","38'550","4800","null","136","weiss"
"1669622809-1033","https://www.autolina.ch/elektro-auto","83'800","1023","2022","408","schwarz"
"1669622809-1034","https://www.autolina.ch/elektro-auto","73'200","2504","null","299","sonstiges"
"1669622809-1035","https://www.autolina.ch/elektro-auto","85'250","8600","2022","204","sonstiges"
"1669622809-1036","https://www.autolina.ch/elektro-auto","27'200","5430","null","82","blau"
"1669622809-1037","https://www.autolina.ch/elektro-auto","27'200","8304","null","82","grau"
"1669622809-1038","https://www.autolina.ch/elektro-auto","22'200","5430","2020","82","grau"
"1669622809-1039","https://www.autolina.ch/elektro-auto","50'650","9242","2022","136","weiss"
"1669622809-1040","https://www.autolina.ch/elektro-auto","72'650","2504","2022","299","weiss"
"1669622809-1041","https://www.autolina.ch/elektro-auto","36'810","1121","null","136","weiss"
"1669622809-1042","https://www.autolina.ch/elektro-auto","36'810","1121","null","136","weiss"
"1669622809-1043","https://www.autolina.ch/elektro-auto","39'070","1121","null","136","grau"
"1669622809-1044","https://www.autolina.ch/elektro-auto","44'140","3000","2022","136","weiss"
"1669622809-1045","https://www.autolina.ch/elektro-auto","37'350","3000","null","136","grau"
"1669622809-1046","https://www.autolina.ch/elektro-auto","41'850","3000","null","136","schwarz"
"1669622809-1047","https://www.autolina.ch/elektro-auto","41'850","3000","null","136","grau"
"1669622809-1048","https://www.autolina.ch/elektro-auto","40'950","3000","null","136","weiss"
"1669622809-1049","https://www.autolina.ch/elektro-auto","48'680","3000","null","136","schwarz"
"1669622809-1050","https://www.autolina.ch/elektro-auto","49'900","3902","2021","204","sonstiges"
"1669622809-1051","https://www.autolina.ch/elektro-auto","68'610","4852","null","265","weiss"
"1669622809-1052","https://www.autolina.ch/elektro-auto","112'900","3018","null","408","grau"
"1669622809-1053","https://www.autolina.ch/elektro-auto","64'900","9200","2020","313","weiss"
"1669622809-1054","https://www.autolina.ch/elektro-auto","143'500","1870","2021","761","grau"
"1669622809-1055","https://www.autolina.ch/elektro-auto","35'900","6021","2022","118","grau"
"1669622809-1056","https://www.autolina.ch/elektro-auto","35'480","3000","null","118","grau"
"1669622809-1057","https://www.autolina.ch/elektro-auto","35'900","8404","2020","184","grau"
